통계표,계정코드,단위,변환,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1,2024/Q2,2024/Q3,2024/Q4,2025/Q1,2025/Q2,2025/Q3
"2.6.1.1. 국제투자대조표(IIP)","  대외금융자산-증권투자","백만달러","원자료","219,812.2","235,457.8","249,288.2","266,922.8","294,319.2","304,903.7","340,166.6","368,206.2","394,746.7","424,646.8","452,315.0","457,525.3","477,120.3","464,979.1","509,411.5","538,687.5","549,441.6","577,848.3","530,457.1","593,775.7","632,193.6","708,262.5","737,459.9","787,702.9","794,194.0","836,017.3","810,942.4","742,711.0","707,408.5","739,459.6","776,844.2","806,163.1","798,927.4","858,388.8","905,277.0","932,697.2","997,226.6","994,254.3","1,011,838.4","1,124,997.3","1,214,013.2"
012.0","1,139,542.7""2.6.1.1. 국제투자대조표(IIP)","  대외금융부채-증권투자","백만달러","원자료","541,748.6","550,718.5","563,760.9","565,107.5","618,642.4","573,264.6","662,892.0","712,185.6","714,850.8","773,912.5","777,121.3","729,633.0","741,948.8","666,590.3","695,819.1","707,189.1","687,620.6","741,955.7","620,011.7","701,945.5","775,004.3","975,037.7","996,747.2","1,054,637.2","966,480.9","994,726.9","943,148.5","805,147.8","719,237.8","814,533.5","852,159.2","899,874.0","863,000.3","953,728.0","981,753.8","985,972.5","955,828.2","834,934.1","864,989.1","1,051,
